"key","status","title_score","bib_title","cr_title","bib_journal","cr_journal","bib_year","cr_year","bib_volume","cr_volume","bib_issue","cr_issue","bib_pages","cr_pages","doi","year_ok","volume_ok","issue_ok","first_page_ok"
"little2019statistical","check title",0.74,"Statistical analysis with missing data","Statistical Analysis with Missing Data, Third Edition",NA,"Wiley Series in Probability and Statistics","2019","2019",NA,NA,NA,NA,NA,NA,"10.1002/9781119482260",TRUE,TRUE,TRUE,NA
"seaman2013review","title matched",1,"Review of inverse probability weighting for dealing with missing data","Review of inverse probability weighting for dealing with missing data","Stat Methods Med Res","Statistical Methods in Medical Research","2013","2011","22","22","3","3","278--95","278-295","10.1177/0962280210395740",FALSE,TRUE,TRUE,TRUE
"vanbuuren2011mice","title matched",0.94,"mice: Multivariate Imputation by Chained Equations in R","mice: Multivariate Imputation by Chained Equations","J Stat Softw","CRAN: Contributed Packages","2011","2006","45",NA,"3",NA,"1--67",NA,"10.32614/cran.package.mice",FALSE,FALSE,FALSE,NA
"doove2014recursive","title matched",1,"Recursive partitioning for missing data imputation in the presence of interaction effects","Recursive partitioning for missing data imputation in the presence of interaction effects","Comput Stat Data Anal","Computational Statistics &amp; Data Analysis","2014","2014","72","72",NA,NA,"92--104","92-104","10.1016/j.csda.2013.10.025",TRUE,TRUE,TRUE,TRUE
"shah2014comparison","check title",0.87,"Comparison of random forest and parametric imputation models for imputing missing data using MICE","Comparison of Random Forest and Parametric Imputation Models for Imputing Missing Data Using MICE: A CALIBER Study","Am J Epidemiol","American Journal of Epidemiology","2014","2014","179","179","6","6","764--74","764-774","10.1093/aje/kwt312",TRUE,TRUE,TRUE,TRUE
"lee2021framework","title matched",1,"Framework for the treatment and reporting of missing data in observational studies: the Treatment And Reporting of Missing data in Observational Studies framework","Framework for the treatment and reporting of missing data in observational studies: The Treatment And Reporting of Missing data in Observational Studies framework","J Clin Epidemiol","Journal of Clinical Epidemiology","2021","2021","134","134",NA,NA,"79--88","79-88","10.1016/j.jclinepi.2021.01.008",TRUE,TRUE,TRUE,TRUE
"barnighausen2011correcting","check title",0.33,"Correcting HIV","Counting and Correcting","Epidemiology","Electronics Simplified","2011","2011","22",NA,"1",NA,"27--35","203-221","10.1016/b978-0-08-097063-9.10011-1",TRUE,FALSE,FALSE,FALSE
"goldstein1996league","title matched",1,"League tables and their limitations: statistical issues in comparisons of institutional performance","League Tables and Their Limitations: Statistical Issues in Comparisons of Institutional Performance","J R Stat Soc Ser A Stat Soc","Journal of the Royal Statistical Society. Series A (Statistics in Society)","1996","1996","159","159","3","3","385--443","385","10.2307/2983325",TRUE,TRUE,TRUE,TRUE
"marshall1998reliability","check title",0.58,"Reliability of league tables of in vitro fertilisation clinics: retrospective analysis of live birth rates","Reliability of league tables of in vitro fertilisation clinics: retrospective analysis of live birth ratesCommentary: How robust are rankings? The implications of confidence intervals","BMJ","BMJ","1998","1998","316","316","7146","7146","1701--5","1701-1705","10.1136/bmj.316.7146.1701",TRUE,TRUE,TRUE,TRUE
"croft2023guide","check title",0.2,"Guide to DHS","Discourse",NA,"Organizational Culture and Social Equity","2023","2023",NA,NA,NA,NA,NA,"88-103","10.4324/9781003395591-7",TRUE,TRUE,TRUE,NA
"who2006child","check title",0.06,"WHO","Breastfeeding in the WHO Multicentre Growth Reference Study","Acta Paediatr Suppl","Acta Paediatrica","2006","2006","450","95",NA,"S450","76--85","16-26","10.1111/j.1651-2227.2006.tb02372.x",TRUE,FALSE,FALSE,FALSE
"lumley2004analysis","title matched",1,"Analysis of complex survey samples","Analysis of Complex Survey Samples","J Stat Softw","Journal of Statistical Software","2004","2004","9","9","8","8","1--19",NA,"10.18637/jss.v009.i08",TRUE,TRUE,TRUE,NA
"rao1984chisquared","title matched",1,"On chi-squared tests for multiway contingency tables with cell proportions estimated from survey data","On Chi-Squared Tests for Multiway Contingency Tables with Cell Proportions Estimated from Survey Data","Ann Stat","The Annals of Statistics","1984","1984","12","12","1","1","46--60",NA,"10.1214/aos/1176346391",TRUE,TRUE,TRUE,NA
"white2011multiple","title matched",1,"Multiple imputation using chained equations: issues and guidance for practice","Multiple imputation using chained equations: Issues and guidance for practice","Stat Med","Statistics in Medicine","2011","2010","30","30","4","4","377--99","377-399","10.1002/sim.4067",FALSE,TRUE,TRUE,TRUE
"morris2014tuning","title matched",1,"Tuning multiple imputation by predictive mean matching and local residual draws","Tuning multiple imputation by predictive mean matching and local residual draws","BMC Med Res Methodol","BMC Medical Research Methodology","2014","2014","14","14",NA,"1","75",NA,"10.1186/1471-2288-14-75",TRUE,TRUE,FALSE,NA
"reiter2006importance","check title",0.34,"The importance of modeling the sampling design in multiple imputation for missing data","Multiple Imputation for Missing Network Data","Surv Methodol",NA,"2006",NA,"32",NA,"2",NA,"143--9",NA,"10.33612/diss.103522814",FALSE,FALSE,FALSE,NA
"wright2017ranger","check title",0.87,"ranger: a fast implementation of random forests for high dimensional data in C++","<b>ranger</b>
                    : A Fast Implementation of Random Forests for High Dimensional Data in
                    <i>C++</i>
                    and
                    <i>R</i>","J Stat Softw","Journal of Statistical Software","2017","2017","77","77","1","1","1--17",NA,"10.18637/jss.v077.i01",TRUE,TRUE,TRUE,NA
"rubin1987multiple","title matched",1,"Multiple imputation for nonresponse in surveys","Multiple Imputation for Nonresponse in Surveys",NA,"Wiley Series in Probability and Statistics","1987","1987",NA,NA,NA,NA,NA,NA,"10.1002/9780470316696",TRUE,TRUE,TRUE,NA
"marshall2009combining","title matched",1,"Combining estimates of interest in prognostic modelling studies after multiple imputation: current practice and guidelines","Combining estimates of interest in prognostic modelling studies after multiple imputation: current practice and guidelines","BMC Med Res Methodol","BMC Medical Research Methodology","2009","2009","9","9",NA,"1","57",NA,"10.1186/1471-2288-9-57",TRUE,TRUE,FALSE,NA
"barnard1999small","check title",0.82,"Small-sample degrees of freedom with multiple imputation","Miscellanea. Small-sample degrees of freedom with multiple imputation","Biometrika","Biometrika","1999","1999","86","86","4","4","948--55","948-955","10.1093/biomet/86.4.948",TRUE,TRUE,TRUE,TRUE
"morris2019using","title matched",1,"Using simulation studies to evaluate statistical methods","Using simulation studies to evaluate statistical methods","Stat Med","Statistics in Medicine","2019","2019","38","38","11","11","2074--102","2074-2102","10.1002/sim.8086",TRUE,TRUE,TRUE,TRUE
"rao1988resampling","title matched",1,"Resampling inference with complex survey data","Resampling Inference with Complex Survey Data","J Am Stat Assoc","Journal of the American Statistical Association","1988","1988","83","83","401","401","231--41","231-241","10.1080/01621459.1988.10478591",TRUE,TRUE,TRUE,TRUE
"rcore2025r","title matched",1,"R: a language and environment for statistical computing","R: A Language and Environment for Statistical Computing",NA,NA,"2025","2000",NA,NA,NA,NA,NA,NA,"10.32614/r.manuals",FALSE,TRUE,TRUE,NA
"hughes2019accounting","title matched",1,"Accounting for missing data in statistical analyses: multiple imputation is not always the answer","Accounting for missing data in statistical analyses: multiple imputation is not always the answer","Int J Epidemiol","International Journal of Epidemiology","2019","2019","48","48","4","4","1294--304","1294-1304","10.1093/ije/dyz032",TRUE,TRUE,TRUE,TRUE
"jakobsen2017when","title matched",1,"When and how should multiple imputation be used for handling missing data in randomised clinical trials -- a practical guide with flowcharts","When and how should multiple imputation be used for handling missing data in randomised clinical trials – a practical guide with flowcharts","BMC Med Res Methodol","BMC Medical Research Methodology","2017","2017","17","17",NA,"1","162",NA,"10.1186/s12874-017-0442-1",TRUE,TRUE,FALSE,NA
"mercer2015space","title matched",1,"Space--time smoothing of complex survey data: small area estimation for child mortality","Space–time smoothing of complex survey data: Small area estimation for child mortality","Ann Appl Stat","The Annals of Applied Statistics","2015","2015","9","9","4","4","1889--905",NA,"10.1214/15-aoas872",TRUE,TRUE,TRUE,NA
"leacy2017analyses","check title",0.74,"Analyses of sensitivity to the missing-at-random assumption using multiple imputation with delta adjustment: application to a tuberculosis/HIV","Analyses of Sensitivity to the Missing-at-Random Assumption Using Multiple Imputation With Delta Adjustment: Application to a Tuberculosis/HIV Prevalence Survey With Incomplete HIV-Status Data","Am J Epidemiol","American Journal of Epidemiology","2017","2017","185",NA,"4",NA,"304--15",NA,"10.1093/aje/kww107",TRUE,FALSE,FALSE,NA
